Back,Back
"Are you sure you want to delete?","Are you sure you want to delete?"
Delete,Delete
Duplicate,Duplicate
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Save & Import","Save & Import"
"Save & Validate","Save & Validate"
Save,Save
"History has been cleared.","History has been cleared."
"Something went wrong.","Something went wrong."
"Import History","Import History"
"The profile has been deleted.","The profile has been deleted."
"Can't delete the profile right now. Please review the log and try again.","Can't delete the profile right now. Please review the log and try again."
"Can't find a resolution to delete.","Can't find a resolution to delete."
"Duplicate Profile","Duplicate Profile"
"Edit Profile","Edit Profile"
"This profile no longer exists.","This profile no longer exists."
"New Profile","New Profile"
"Profile Id is not set","Profile Id is not set"
"Import Profiles","Import Profiles"
"Import Products","Import Products"
"Profile(s) was successfully removed.","Profile(s) was successfully removed."
"You saved the profile.","You saved the profile."
"An error has occurred","An error has occurred"
"Reindex of catalog_product_entity is running.","Reindex of catalog_product_entity is running."
"Reindex of catalog_product_entity is complete.","Reindex of catalog_product_entity is complete."
"Reindex of catalog_category_entity is running.","Reindex of catalog_category_entity is running."
"Reindex of catalog_category_entity is complete.","Reindex of catalog_category_entity is complete."
"Started disabling the products not added to the file.","Started disabling the products not added to the file."
"The process of products disabling is finished.","The process of products disabling is finished."
"Entity Key Delimiter","Entity Key Delimiter"
"Custom Entity Key is Used","Custom Entity Key is Used"
Product,Product
"Custom Entity Key","Custom Entity Key"
"Product Identifier","Product Identifier"
"Enable Autofill for Typical Use Cases","Enable Autofill for Typical Use Cases"
"If enabled, Fields Configuration will be automatically filled in with the settings to perform the typical use cases for importing products from third-party systems.","If enabled, Fields Configuration will be automatically filled in with the settings to perform the typical use cases for importing products from third-party systems."
"Unable to save entity log entry with ID %1. Error: %2","Unable to save entity log entry with ID %1. Error: %2"
"Unable to save new entity log entry. Error: %1","Unable to save new entity log entry. Error: %1"
Manual,Manual
Cron,Cron
"Profile with specified ID ""%1"" not found.","Profile with specified ID ""%1"" not found."
"Unable to save the profile. Error: %1","Unable to save the profile. Error: %1"
"Unable to delete the profile. Error: %1","Unable to delete the profile. Error: %1"
"Run Profile by Cron","Run Profile by Cron"
"If enabled, the import will be initiated automatically by cron according to the schedule specified.","If enabled, the import will be initiated automatically by cron according to the schedule specified."
"On %date in running the profile '%name' the following error happened: ","On %date in running the profile '%name' the following error happened: "
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Amasty Import Products","Amasty Import Products"
"Amasty Import Products Profiles","Amasty Import Products Profiles"
"Amasty Import Products History","Amasty Import Products History"
Profiles,Profiles
History,History
"General Settings","General Settings"
"Import Batch Size","Import Batch Size"
"Import History Auto-Cleaning","Import History Auto-Cleaning"
"The records will be automatically removed from Import History after the period specified below.","The records will be automatically removed from Import History after the period specified below."
"Auto-Cleaning Period (Days)","Auto-Cleaning Period (Days)"
"The records will be automatically removed from Import History after the period you specified in the field.","The records will be automatically removed from Import History after the period you specified in the field."
"Multi-Process Import","Multi-Process Import"
"Enable Multi-Process Import","Enable Multi-Process Import"
"The 'Multi-Process Import' feature requires the PHP extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension is installed.","The 'Multi-Process Import' feature requires the PHP extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension is installed."
"Number of Parallel Processes","Number of Parallel Processes"
"The more parallel processes are set, the faster the import process goes, but the higher the server loads.","The more parallel processes are set, the faster the import process goes, but the higher the server loads."
"Clear History","Clear History"
"Delete History","Delete History"
"Are you sure you want to delete selected history items?","Are you sure you want to delete selected history items?"
"History ID","History ID"
"Profile Name","Profile Name"
"Profile ID","Profile ID"
Status,Status
"Imported At","Imported At"
Log,Log
Summary,Summary
"Profile Import Log","Profile Import Log"
Close,Close
"Profile Set Up Steps","Profile Set Up Steps"
"General Configuration","General Configuration"
"Reindex After Importing","Reindex After Importing"
"Disable Products Not in File","Disable Products Not in File"
"Please note: If the setting is enabled, reindex will be performed in importing to make the products invisible on a storefront.","Please note: If the setting is enabled, reindex will be performed in importing to make the products invisible on a storefront."
"Generate Profile","Generate Profile"
"File Settings","File Settings"
"Import Source","Import Source"
"Import Settings","Import Settings"
"Fields Configuration","Fields Configuration"
"Automatic Import","Automatic Import"
Schedule,Schedule
"Alert Notifications","Alert Notifications"
"Add New Profile","Add New Profile"
"Delete items","Delete items"
"File Format","File Format"
"Execution Type","Execution Type"
"Last Run","Last Run"
"Last Update","Last Update"
Edit,Edit
